id_proyecto,nombre_proyecto,direccion,id_programa,id_proyecto_estado,id_proyecto_subestado,coordenada_x,coordenada_y;;;;;;;;;;;;
;;;;;;;;;;;;
id_proyecto;dependencia;id_dependencia;nombre_proyecto;id_programa;nombre_programa;id_proyecto_estado;proyecto_estado;id_proyecto_subestado;proyecto_subestado;direccion;x;y
43;Gerencia de Ciudad ;3;Seguridad_2025_Escuela calle 17;19;Mantenimeinto y adecuacion;;;;;Calle 17 # 7d;;
44;Gerencia de Ciudad ;3;Seguridad_2025_Red de apoyo (CAD);19;Mantenimeinto y adecuacion;;;;;;45372;
45;Gerencia de Ciudad ;3;Seguridad_2025_Centro Local de Analisis Criminar (CELAC);19;Mantenimeinto y adecuacion;;;;;;;
46;Gerencia de Ciudad ;3;Seguridad_2025_Interpol;19;Mantenimeinto y adecuacion;;;;;;-74,79178056;10,95044167
47;Gerencia de Ciudad ;3;Seguridad_2025_Celdas en la Estacion Norte;19;Mantenimeinto y adecuacion;;;;;;-74,77758202;10,94247181
48;Gerencia de Ciudad ;3;Museo de Arte Moderno de Barranquilla (MAMBAQ);9;Edificaciones culturales ;3;Contractual;7;En_Ejecución;Cl 36 46 66;-74,7911363;10,93773048
49;EDUBAR;2;Ecoparque Mallorquin-2435 - UF-1;8;EcoParque Mallonquín;4;Postcontractual;9;Terminado;;-74,83360085;10,97646055
50;EDUBAR;2;Ecoparque Mallorquin-0698 - UF-2;8;EcoParque Mallonquín;4;Postcontractual;9;Terminado;;-74,81870634;10,96810993
51;EDUBAR;2;Ecoparque Mallorquin-2435 - Tren Tajamar;26;Tren Turistico;4;Postcontractual;9;Terminado;;-74,7774834;10,94460148
52;EDUBAR;2;Playa de Puerto Mocho (Playa 2);22;Recuperación Playas de Puerto Mocho;4;Postcontractual;9;Terminado;;-74,77823219;10,94277974
53;EDUBAR;2;Playa de Puerto Mocho - Adición No.1 (playa 1);22;Recuperación Playas de Puerto Mocho;4;Postcontractual;9;Terminado;;-74,829017;10,939278
54;EDUBAR;2;MP-2989 - Mercado Tajamar;23;Plazas de Mercado;4;Postcontractual;11;Entregado;calle 106 con 111;-74,8040632;10,93186287
55;EDUBAR;2;MP-2989 - Mercado Sredni;23;Plazas de Mercado;4;Postcontractual;11;Entregado;calle 38 con 43;-74,805534;10,923495
56;EDUBAR;2;MP-2989 - Mercado Del Rio;23;Plazas de Mercado;3;Contractual;7;En_Ejecución;;-74,807135;10,960249
57;EDUBAR;2;MP-2989 - Mercado La Magola;23;Plazas de Mercado;4;Postcontractual;11;Entregado;cra 42B entre calles 31 y 33;-7477212500;10.955128°
58;EDUBAR;2;MP-2989 - Parqueadero Multiproposito Barlovento;23;Plazas de Mercado;4;Postcontractual;11;Entregado;C 9A 46A 115;-74,801965;10,932651
59;EDUBAR;2;MP-2989 - Mercado Gran Bazar;23;Plazas de Mercado;4;Postcontractual;11;Entregado;C 9 41N 52;-74,818121;10,979363
60;EDUBAR;2;MP-2989-Mercado de EPM;23;Plazas de Mercado;4;Postcontractual;11;Entregado;C 30 44 100;-74,819485;10,931673
61;EDUBAR;2;MP-2989-Mercado El Playon;23;Plazas de Mercado;3;Contractual;7;En_Ejecución;C 30 41A 44;-74,81439951;10,93944905
62;EDUBAR;2;TEU-2438 - Carrera 53;27;Tranformación de Entornos Urbanos;3;Contractual;8;Suspendido;carrera 53 entre calles 80 a la 87;-74,78764411;10,94754859
63;EDUBAR;2;TEU-2438 - Malecon UF3;27;Tranformación de Entornos Urbanos;4;Postcontractual;11;Entregado;Gran Malecon del Rio UF3;-74,78347958;10,96012034
64;EDUBAR;2;TEU-2438 - Centro Urbano Comunitario Barlovento;27;Tranformación de Entornos Urbanos;4;Postcontractual;11;Entregado;Carrera 50 con calle 9A;-74,80083198;10,92461081
65;EDUBAR;2;TEU-2438 - Plaza de Pescado;27;Tranformación de Entornos Urbanos;4;Postcontractual;11;Entregado;Carrea 42 # 7-39;-74,86960947;11,02321035
66;EDUBAR;2;TEU-2438 - Callejon de Robertico ;27;Tranformación de Entornos Urbanos;4;Postcontractual;11;Entregado;Calle 30 # 42-15;-74,7967476;10,93104217
67;EDUBAR;2;TEU-2438 - Callejon del Meao;27;Tranformación de Entornos Urbanos;4;Postcontractual;11;Entregado;cra 42B entre calles 31 y 33;-74,80198094;10,95656316
68;EDUBAR;2;TEU-2438 - Centro urbano comunitario las Americas;27;Tranformación de Entornos Urbanos;4;Postcontractual;11;Entregado;Cra 3C # 52B- 141;-74,89452986;10,95569943
69;EDUBAR;2;Recuperación Caños - Recuperación Integral Caño de la Ahuyama;1;Agua potable y saneamiento básico;3;Contractual;7;En_Ejecución;-;-74,803003;10,931181
70;EDUBAR;2;Escenarios - Pista de Ciclomontañismo;11;Escenarios deportivos ;4;Postcontractual;11;Entregado;-;-74,83216934;10,98726525
71;EDUBAR;2;InfraEducativa-3691 - IE Reuven [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 1B # 46G - 18;-74,85738;10,960361
72;EDUBAR;2;InfraEducativa-3691 - IE Jose Eusebio Caro [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 33 # 45 - 125;-74,83241024;10,95062526
73;EDUBAR;2;InfraEducativa-3691 - IE Juan Jose Rondon [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 25B # 68 - 20;-74,821918;10,969026
74;EDUBAR;2;InfraEducativa-3691 - IE Carrizal [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;Calle 50D 3 31A - 37;-74,82700257;11,0412195
75;EDUBAR;2;InfraEducativa-3691 - IE Mayor de Barranquilla [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;Calle 47 # 44 - 97 ;-74,865668;11,032723
76;EDUBAR;2;InfraEducativa-3691 - IE Jorge Nicolas Abello sede 2 [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Calle 64 # 25 - Esq;-74,820178;10,932889
77;EDUBAR;2;InfraEducativa-3691 - Ideth Sede 2 [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 28 # 63b - 87;-74,82805712;10,94478829
78;EDUBAR;2;InfraEducativa-3691 - IE Insteco Sede 2 [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cl 39 # 38 -63;-74,834842;10,998261
79;EDUBAR;2;InfraEducativa-3691 - IE La Libertad [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 26A # 74B - 139;-74,77829797;10,98917354
80;EDUBAR;2;InfraEducativa-3691 - IE Insteco Sede 1 [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cl 47 # 42 - 60;-74,825894;10,965281
81;EDUBAR;2;InfraEducativa-3691 - IE Sonia Ahumada [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 12A #94 - 75;-74,81099542;10,93138913
82;EDUBAR;2;InfraEducativa-3691 - IE Nuestra Señora de las Nieves [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 10 # 23 - 13;-74,782225;10,989911
83;EDUBAR;2;InfraEducativa-3691 - IE Ciudadela Estudiantil [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 1A # 47 - 49;-74,80673072;10,9951123
84;EDUBAR;2;InfraEducativa-3691 - IE Simón Bolivar [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra 5A # 19 - 15;-74,80633923;11,02432616
85;EDUBAR;2;InfraEducativa-3691 - IE Carlos Meisel [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cl 74 # 24 -139;-74,79897544;10,97427414
86;EDUBAR;2;InfraEducativa-3691 - IE Santa María [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cra. 5 Sur #78b- 80;-74,78611196;10,98117676
87;EDUBAR;2;InfraEducativa-3691 - IE Santa Magdalena Sofía[Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Cl. 84b #76-17;-74,89529705;10,95476467
