;id_proyecto;nombre_proyecto;direccion;id_programa;id_proyecto_estado;id_proyecto_subestado;coordenada_x;coordenada_y;valor_inicial_obra;valor_total_adicionado_obra;valor_total_facturado_obra;valor_total_pagado_obra;valor_inicial_interventoria;valor_total_adicionado_interventoria;valor_total_facturado_interventoria;valor_total_pagado_interventoria;fecha_entrega;ampliacion_contractual;;
;33;CAI La Paz;Cra. 13 No. 106 esquina ;4;4;11;-74,83459444;10,96606111;$ 409.200.000,00;$ 250.875.243,21;$ 270.613.573,33;$ 270.613.573,33;$ 48.758.618,46;$ 47.397.320,22;$ 32.436.189,26;$ 32.436.189,26;18/06/2024;false;;
;34;CAI Santo Domingo;Cra. 2 No. 62 esquina;4;4;11;-74,81603889;10,93611667;$ 460.325.367,00;$ 191.824.688,70;$ 304.423.979,61;$ 304.423.979,61;$ 54.850.510,60;$ 53.319.132,03;$ 36.488.760,32;$ 36.488.760,32;18/06/2024;false;;
;35;Intercambiador_Alameda_CRA43;null;18;3;7;-74,833777;11,027738;$ 59.906.133.530,00;null;null;null;null;null;null;null;31/12/2024;false;;
;36;Seguridad_2025_Estación El Bosque;Cordialidad #calle 60B -110;12;;null;-74815838;10947916;null;null;null;null;null;null;null;null;null;false;;
;37;Seguridad_2025_Estación Caribe Verde;Avenida Caribe Verde 120 #11 d 02;12;;null;-74844167;10957133;null;null;null;null;null;null;null;null;null;false;;
;38;Seguridad_2025_Estación Riomar;Calle 94 Cra 56 esquina;12;;null;-74822025;11014343;null;null;null;null;null;null;null;null;null;false;;
;39;Seguridad_2025_Estación Rebolo;Cra 26 # 24-71;12;;null;-74779594;10964234;null;null;null;null;null;null;null;null;null;false;;
;40;Seguridad_2025_CAI La Victoria;Av. Murillo cra 10e;4;;null;-74798215;10952332;null;null;null;null;null;null;null;null;null;false;;
;41;Seguridad_2025_CAI La Alboraya;Calle 41b # 8-52;4;;null;-74796735;10946749;null;null;null;null;null;null;null;null;null;false;;
;42;Seguridad_2025_CAI El Limon;Calle 33c # 05-5D;4;;null;-74786668;10941457;null;null;null;null;null;null;null;null;null;false;;
;43;Seguridad_2025_Escuela calle 17;Calle 17 # 7d;19;;null;-74773234;10946679;null;null;null;null;null;null;null;null;null;false;;
;44;Seguridad_2025_Red de apoyo (CAD);null;19;;null;null;null;null;null;null;null;null;null;null;null;null;false;;
;45;Seguridad_2025_Centro Local de Analisis Criminar (CELAC);null;19;;null;null;null;null;null;null;null;null;null;null;null;null;false;;
;46;Seguridad_2025_Interpol;null;19;;null;null;null;null;null;null;null;null;null;null;null;null;false;;
;47;Seguridad_2025_Celdas en la Estacion Norte;null;19;;null;null;null;null;null;null;null;null;null;null;null;null;false;;
;48;Museo de Arte Moderno de Barranquilla (MAMBAQ);Cl 36 46 66;9;3;7;-74,77814444;10,98690556;$ 17.404.848.036,00;null;$ 9.036.372.759,48;$ 9.036.372.759,48;$ 1.400.000.000,00;null;$ 679.968.181,95;$ 679.968.181,95;1/01/2000;false;;
;49;Ecoparque Mallorquin-2435 - UF-1;null;8;4;9;-74,84585142;11,03181486;$ 82.464.264.620,00;null;$ 82.327.509.369,60;$ 73.910.048.311,38;$ 3.974.629.750,00;$ 1.434.899.620,00;$ 4.693.841.462,68;$ 4.593.841.462,73;27/03/2024;false;;
;50;Ecoparque Mallorquin-0698 - UF-2;null;8;4;9;-74,83855556;11,03541667;$ 113.014.745.304,00;null;$ 101.711.034.755,38;$ 101.711.029.755,77;$ 2.656.000.579,00;$ 508.517.168,00;$ 2.848.065.970,77;$ 2.848.065.970,77;31/10/2024;false;;
;51;Ecoparque Mallorquin-2435 - Tren Tajamar;null;26;4;9;-74,82996179;11,04570045;$ 34.080.465.796,00;$ 13.111.924.219,76;$ 44.244.542.052,09;$ 41.198.260.008,18;$ 1.526.326.725,00;$ 3.234.450.940,00;$ 4.387.474.665,00;$ 3.255.898.850,10;30/09/2024;false;;
;52;Playa de Puerto Mocho (Playa 2);null;22;4;9;-74,84495756;11,06021464;$ 23.091.329.705,00;null;$ 27.252.197.615,17;$ 27.252.197.615,17;$ 1.673.561.307,00;$ 281.693.633,00;$ 1.794.573.057,00;$ 1.464.243.451,89;31/10/2024;false;;
