id_localidad,id_barrio
2,1
2,2
5,3
3,4
3,5
3,6
2,7
2,8
3,9
5,10
2,11
2,12
5,13
2,14
4,15
2,16
2,17
2,18
5,19
4,20
3,21
1,22
4,23
2,24
4,25
4,26
1,27
2,28
1,29
5,30
4,31
2,32
4,33
1,34
4,35
4,36
4,37
2,38
4,39
4,40
4,41
2,42
4,43
3,44
4,45
4,46
5,47
4,48
2,49
4,50
4,51
5,52
2,53
4,54
5,55
3,56
5,57
3,58
2,59
2,60
4,61
2,62
4,63
2,64
4,65
1,66
4,67
2,68
4,69
4,70
2,71
3,72
2,73
5,74
4,75
1,76
5,77
2,78
4,79
5,80
2,81
2,82
4,83
3,84
4,85
4,86
4,87
2,88
2,89
5,90
5,91
4,92
4,93
4,94
1,95
1,96
5,97
5,98
1,99
1,100
4,101
2,102
5,103
4,104
3,105
1,106
1,107
4,108
2,109
5,110
5,111
5,112
4,113
3,114
4,115
4,116
2,117
4,118
4,119
4,120
4,121
1,122
1,123
2,124
5,125
2,126
4,127
4,128
4,129
4,130
5,131
4,132
4,133
4,134
2,135
2,136
2,137
5,138
4,139
4,140
2,141
4,142
3,143
2,144
5,145
3,146
4,147
3,148
1,149
2,150
4,151
4,152
5,153
1,154
4,155
5,156
3,157
4,158
2,159
4,160
5,161
1,162
3,163
5,164
4,165
4,166
5,167
3,168
3,169
2,170
5,171
1,172
3,173
4,174
1,175
1,176
1,177
3,178
1,179
4,180
5,181
1,182
3,183
3,184
5,185
5,186
1,187
5,188
3,189
2,190
5,191
3,192
4,193
4,194
1,195
4,196
4,197
3,198
1,199
1,200
2,201
4,202
4,203
4,204
5,205
